City_names,Years,Asian_num,Asian_per,Latino_num,Latino_per,States,Black_num,A2B,L2B
Philadelphia,1990,43522,2.744868272,89193,5.6252708,PA,631936,0.068870898318817,0.141142457464047
Philadelphia,.Sample,43174,2.722920426,84186,5.309486704,PA,,,
Philadelphia,1980,17764,1.052238762,63570,3.765526801,PA,638878,0.027804995632969,0.099502565435028
Philadelphia,.Sample,19950,1.181725022,64323,3.810130256,PA,,,
Philadelphia,.15% sample,NA,NA,45798,2.350293132,PA,,,
Philadelphia,.5% sample,NA,NA,44679,2.292867524,PA,,,
Philadelphia,1960,3521,0.175829159,NA,NA,PA,,,
Philadelphia,.5% sample,NA,NA,2200,0.113910903,PA,,,
Pittsburgh,1990,5937,1.605119512,3468,0.937603919,PA,95362,0.062257502988612,0.036366686940291
Pittsburgh,.Sample,5780,1.562673199,3415,0.923274909,PA,,,
Pittsburgh,1980,2596,0.612353693,3196,0.753883823,PA,101813,0.025497726223567,0.031390883286024
Pittsburgh,.Sample,2818,0.664719841,3370,0.79492756,PA,,,
Pittsburgh,.15% sample,NA,NA,2818,0.541770964,PA,,,
Pittsburgh,.5% sample,NA,NA,3942,0.757864138,PA,,,
Pittsburgh,1960,656,0.108549605,NA,NA,PA,,,
Pittsburgh,.5% sample,NA,NA,380,0.056576328,PA,,,
Reading,1990,1114,1.421280939,14486,18.48175555,PA,7607,0.146444064677271,1.90429867227554
Reading,.Sample,956,1.219698903,14130,18.02755805,PA,,,
Reading,1980,363,0.461327301,7710,9.798439367,PA,6270,0.057894736842105,1.22966507177034
Reading,.Sample,502,0.637978802,7763,9.865795694,PA,,,
Reading,.15% sample,NA,NA,3163,3.608794368,PA,,,
Reading,.5% sample,NA,NA,2591,2.956176481,PA,,,
Reading,1960,36,-,NA,NA,PA,,,
Scranton,1990,747,0.913147118,545,0.666218446,PA,1290,0.57906976744186,0.422480620155039
Scranton,.Sample,885,1.081840963,520,0.635657967,PA,,,
Scranton,1980,345,0.391524904,398,0.451672209,PA,956,0.360878661087866,0.416317991631799
Scranton,.Sample,401,0.455076773,443,0.502740674,PA,,,
Scranton,.15% sample,NA,NA,241,0.232971792,PA,,,
Scranton,.5% sample,NA,NA,1030,0.995688572,PA,,,
Scranton,1960,27,-,NA,NA,PA,,,
Southwark  ,Southwark 3 ,NA,NA,Free,NA,PA,,,
Pawtucket,1970,86,0.111711524,NA,NA,RI,,,
Warwick,1970,117,0.139794967,NA,NA,RI,,,
Woonsocket,1970,84,0.179410508,NA,NA,RI,,,
Providence,1970,853,0.475969935,NA,NA,RI,,,
Newport,1990,399,1.413540227,789,2.795196089,RI,2281,0.174923279263481,0.345900920648838
Newport,.Sample,310,1.098239274,755,2.674744039,RI,,,
Newport,1980,283,0.96722376,588,2.00963806,RI,2241,0.12628290941544,0.262382864792503
Newport,.Sample,282,0.96383895,553,1.890081345,RI,,,
Newport,.15% sample,NA,NA,664,1.921185117,RI,,,
Newport,.5% sample,NA,NA,397,1.148660378,RI,,,
Newport,1960,274,0.58237157,NA,NA,RI,,,
Pawtucket,1990,472,0.649743957,5211,7.173338473,RI,2608,0.180981595092025,1.99808282208589
Pawtucket,.Sample,424,0.5836683,4939,6.798909752,RI,,,
Pawtucket,1980,176,0.247177125,2502,3.513847537,RI,993,0.177240684793555,2.51963746223565
Pawtucket,.Sample,183,0.257008033,2313,3.248413011,RI,,,
Pawtucket,.15% sample,NA,NA,762,0.989713217,RI,,,
Pawtucket,.5% sample,NA,NA,694,0.901392352,RI,,,
Pawtucket,1960,46,0.056789422,NA,NA,RI,,,
