Name,F.year,Address,States,City,County,Type
Colorado Organization for Latina Opportunity and Reproductive Rights,1998,"Denver, CO 80204-0991",CO,DENVER,DENVER,CBO
Hispanic Annual Salute,1980,"Denver, CO 80204-0720",CO,DENVER,DENVER,CBO
Latin American Educational Foundation,1949,"561 Santa Fe Drive Denver, CO 80204",CO,DENVER,DENVER,CBO
Latina Initiative,2006,,CO,DENVER,DENVER,Advocacy
Latina Safehouse Initiative,2003,,CO,DENVER,DENVER,CBO
Latino Community Foundation of Colorado,2007,"600 S. Cherry Street, Suite 1200, Denver, CO 80246-1712",CO,DENVER,DENVER,CBO
Servicios de La Raza,1972,,CO,DENVER,DENVER,CBO
Hispanic Educational Resources,1997,"828 Scott Ave Des Moines, IA, 50309-5054",IA,DES MOINES,POLK,CBO
Latina Leadership Initiative,2013,"Des Moines, IA 50312",IA,DES MOINES,POLK,CBO
Latino Resources,2004,"4217 University Avenue Suite 1 Des Moines, IA 50311-3421",IA,DES MOINES,POLK,CBO
Detroit Hispanic Development Corporation,1997,"1211 Trumbull Ave, Detroit, MI 48216",MI,DETROIT,WAYNE,Hybrid
Latino Family Services,1992,"3815 West Fort Street, Detroit MI 48216",MI,DETROIT,WAYNE,CBO
Hispanic Community Council of Chautauqua County,2016,,NY,DEWITTVILLE,CHAUTAUQUA,CBO
Caminar Latino,1990,"Doraville, GA 30362-1623",GA,DORAVILLE,DEKALB,CBO
Morris County Organization for Hispanic Affairs,1976,"97 Bassett Hwy, Dover, NJ 07801",NJ,DOVER,MORRIS,CBO
Latino Community Development Center,2000,"100 W Morgan St Durham, NC 27701-3315 USA",NC,DURHAM,DURHAM,CBO
Latino Educational Achievement Partnership,2008,"St Lukes Episcopal Church 1737 Hillandale Rd, Durham, NC 27705-3045",NC,DURHAM,DURHAM,CBO
NC Congress of Latino Organizations Ncclo,2005,,NC,DURHAM,DURHAM,Advocacy
Latino Linq,2016,,GA,EAST POINT,FULTON,CBO
Latino Treatment Center,1985,"54 S Grove Ave, Elgin, IL 60120",IL,ELGIN,KANE,CBO
Northern Indiana Hispanic Health Coalition,2006,"444 N NAPPANEE ST, ELKHART , IN 46514",IN,ELKHART,ELKHART,CBO
Pinal Hispanic Council,1987,,AZ,ELOY,PINAL,CBO
Latino Net,2000,,CA,EUREKA,HUMBOLDT,CBO
Latino Resources,2009,"9540 DRAKE AVE EVANSTON , IL 60203 ",IL,EVANSTON,COOK,CBO
Hispanic Committee of Virginia,1967,"2049 North 15th Street, Arlington, VA 22201",VA,FALLS CHURCH,FALLS CHURCH,CBO
Progreso Latino Progress Alliance,2012,,WA,FEDERAL WAY,KING,Advocacy
Latino Community Development Corporation,1992,"11712 Skyhawk Ct, Fishers, IN 46037-8140",IN,FISHERS,HAMILTON,CBO
Genesee County Hispanic Latino Collaborative,2015,"1509 E. Court St.,Flint, Michigan",MI,FLINT,GENESEE,CBO
