Name,F.year,Address,States,City,County,Type
Latino Food Center,2010,"3710 E Cesar Chavez Ave Ste 2a Los Angeles, CA 90063-2219",CA,LOS ANGELES,LOS ANGELES,CBO
Latino Initiatives for the New Century,2000,,CA,LOS ANGELES,LOS ANGELES,CBO
Latino Legislative Caucus Foundation,2007,,CA,LOS ANGELES,LOS ANGELES,CBO
Latino Social Justice Foundation,2005,"Los Angeles, CA 90022-0359",CA,LOS ANGELES,LOS ANGELES,Advocacy
Mexican American Legal Defense and Educational Fund,1968,"634 S Spring St # 1100, Los Angeles, CA 90014",CA,LOS ANGELES,LOS ANGELES,Hybrid
National Association of Latino Elected and Appointed Officials Educational Fund,1976,"1122 W Washington Blvd 3rd Floor Los Angeles, CA, 90015-3352",CA,LOS ANGELES,LOS ANGELES,Advocacy
Nuevo Amanecer Latino Childrens Services,1994,"5400 Pomona Blvd, Los Angeles, CA 90022",CA,LOS ANGELES,LOS ANGELES,CBO
United Latino Fund,1990,"5400 E. Olympic Blvd., Suite 208, Los Angeles, CA 90022",CA,LOS ANGELES,LOS ANGELES,CBO
Watts Century Latino Organization,1990,"10360 Wilmington Avenue, Los Angeles, CA 90002",CA,LOS ANGELES,LOS ANGELES,CBO
Adelante Hispanic Achievers,2005,"2817 Hikes Ln, Louisville, KY 40218",KY,LOUISVILLE,JEFFERSON,CBO
Boulder County Latina League,1999,,CO,LOUISVILLE,BOULDER,CBO
Boulder County Latina Womens League,1998,"721 Front St Apt A Louisville, CO 80027-1877",CO,LOUISVILLE,BOULDER,CBO
Hispanic Latino Coalition of Louisville,1998,"224 Woodbine St, LOUISVILLE 40208",KY,LOUISVILLE,JEFFERSON,CBO
Grupo Atardecer Senior Citizen Hispanic Grupo Atardecer,2011,"100 7TH AVE LOWELL , MA 01854 ",MA,LOWELL,MIDDLESEX,CBO
Lynwood Latino Coalition,2004,,CA,LYNWOOD,LOS ANGELES,CBO
Hispanic Resource Center of Larchmont Mamaroneck,1998,"134 Center Ave Mamaroneck, NY 10543-1804",NY,MAMARONECK,WESTCHESTER,CBO
National Hispanic Institute,1979,"472 Fm 1966 Maxwell, TX 78656-0000 ",TX,MAXWELL,CALDWELL,CBO
Hispanic Learning and Resource Center,2008,"1108 W Main St,Medford, Oregon 97501-2933",OR,MEDFORD,JACKSON,CBO
Latino Memphis,1995,"6041 Mt. Moriah Extended, Suite 16, Memphis, TN 38115-0000",TN,MEMPHIS,SHELBY,Hybrid
Hispanic Forum of Mesquite,2005,,TX,MESQUITE,DALLAS,Hybrid
Florida Hispanic Foundation,2006,,FL,MIAMI,MIAMI-DADE,CBO
Hispanic Food and Beverage Foundation,2010,,FL,MIAMI,MIAMI-DADE,CBO
Hispanic National Bar Foundation,1985,"9195 SW 72nd Street, Miami, FL 33173",FL,MIAMI,MIAMI-DADE,CBO
Hispanic Transit Society of Dade County,1967,"Miami, FL 33144-1778",FL,MIAMI,MIAMI-DADE,Advocacy
Latino Children Fund,1997,,FL,MIAMI,MIAMI-DADE,CBO
Alianza Latina Aplicando Soluciones,1997,"1615 S 22nd St, Milwaukee, WI 53204",WI,MILWAUKEE,MILWAUKEE,Hybrid
Latino Community Center,1999,"807 S 14th St, Milwaukee, Wisconsin 53204",WI,MILWAUKEE,MILWAUKEE,CBO
Wisconsin Hispanic Scholarship Foundation,1962,"2997 S 20TH ST, MILWAUKEE, WI 53215",WI,MILWAUKEE,MILWAUKEE,CBO
Centro Cultural Chicano,1974,"1915 Chicago Avenue, Minneapolis, MN 55404",MN,MINNEAPOLIS,HENNEPIN,CBO
Latino Economic Development Center,1991,"1501 E Lake St Lower Level Minneapolis, MN 55407-1789 ",MN,MINNEAPOLIS,HENNEPIN,CBO
Latino Youth Development Collaborative Lydc,2016,,MN,MINNEAPOLIS,HENNEPIN,CBO
Latino Community Roundtable,1997,,CA,MODESTO,STANISLAUS,Advocacy
Latino Emergency Council,2006,,CA,MODESTO,STANISLAUS,CBO
Asociacion Latino Americana de Cirujanos de Catarata Y Segmento,2001,,CA,MONTEBELLO,LOS ANGELES,CBO
Latino Diabetes Association,2004,"Montebello, CA 90640-1347",CA,MONTEBELLO,LOS ANGELES,CBO
Latino Kids Health,2014,,CA,MONTEBELLO,LOS ANGELES,CBO
Mexican American Opportunity Foundation,1963,"401 N. Garfield Avenue, Montebello, CA 90640",CA,MONTEBELLO,LOS ANGELES,CBO
Hispanic Alliance for Education,1996,,MD,MONTGOMERY VILLAGE,MONTGOMERY,CBO
Hispanic Affairs Project,2005,,CO,MONTROSE,MONTROSE,Advocacy
Mexican American Development Association,1971,"17 North 6th Street, Montrose, CO 81401",CO,MONTROSE,MONTROSE,CBO
Latino Summit,2014,,IL,MT PROSPECT,COOK,CBO
Centro Latino de Educacion Para Adultos de Dallas Norte,2005,,TX,MURPHY,COLLIN,CBO
Hispanic Support Organization,2014,"27890 Clinton Keith Road D-466 Murrieta, CA 92562-8571",CA,MURRIETA,RIVERSIDE,CBO
Hispanic Community Services Coalition,2010,,MI,MUSKEGON,MUSKEGON,CBO
Napa County Hispanic Network,1983,"Napa, CA 94581",CA,NAPA,NAPA,Advocacy
Hispanic Family Foundation,2014,"3927 Nolensville Pk, Nashville, TN 37211",TN,NASHVILLE,DAVIDSON,CBO
Tennessee Latino Civil Rights Organization,2015,,TN,NASHVILLE,DAVIDSON,Advocacy
Hispanic Directors Association of New Jersey,1991,"90A Jersey Ave, New Brunswick, NJ 08901",NJ,NEW BRUNSWICK,CAMDEN,Advocacy
Latino Leadership Alliance Foundation,2004,"402 LIVINGSTON AVE, NEW BRUNSWICK, NJ 08901",NJ,NEW BRUNSWICK,MIDDLESEX,CBO
Progreso Latino Fund,2003,"70 Audubon Street, New Haven, CT 06510",CT,NEW HAVEN,NEW HAVEN,CBO
Unidad Latina Accion,2002,"37 Howe St, New Haven, CT 06511",CT,NEW HAVEN,NEW HAVEN,Advocacy
Hispanic Alliance of Southeastern Connecticut,2000,,CT,NEW LONDON,NEW LONDON,CBO
Latino Farmers Cooperative Of Louisiana,2010,428 S Jefferson Davis Pkwy New Orleans LA 70119-7126,LA,NEW ORLEANS,ORLEANS PARISH,CBO
SEED Hispanic Latino Center for Educational Development,2012,,LA,NEW ORLEANS,ORLEANS PARISH,CBO
Foundation for Healthy Hispanic Families,2015,,NY,NEW ROCHELLE,WESTCHESTER,CBO
Asociacion Tepeyac de New York,1997,"38 W 38th St, New York, NY 10018",NY,NEW YORK,NEW YORK,CBO
Coalition for Hispanic Family Services,1990,"315 Wyckoff Ave #4, Brooklyn, NY 11237",NY,NEW YORK,NEW YORK,CBO
Committee for Hispanic Children and Families,1982,"75 Broad Street Ste 620 New York, NY 10004",NY,NEW YORK,NEW YORK,Hybrid
Hispanic AIDS Forum,1985,"1767 Park Avenue, 5th Floor, New York, NY 10035",NY,NEW YORK,NEW YORK,CBO
Hispanic Brotherhood Housing Corporation,1984,"59 Clinton Avenue, Rockville Centre, New York 11570",NY,NEW YORK,NEW YORK,CBO
Hispanic Community Organization for Life,2009,"62 WEST 107TH STREET NEW YORK, NY 10025",NY,NEW YORK,NEW YORK,CBO
Hispanic Federation,1990,"55 Exchange Place, 5th Floor, New York, NY, 10005-3301",NY,NEW YORK,NEW YORK,Hybrid
Hispanic Information and Telecommunications Network,1982,"63 Flushing Avenue, Building #292, Suite #211, Brooklyn, NY 11205-1005",NY,NEW YORK,NEW YORK,CBO
Hispanic Policy Development Project,1982,"New York, NY 10010",NY,NEW YORK,NEW YORK,Advocacy
La Unidad Latina Foundation,1999,,NY,NEW YORK,NEW YORK,CBO
Latino Center on Aging (LCA),1991,"1133 Broadway, Ste. 708 New York, NY 10010 ",NY,NEW YORK,NEW YORK,Hybrid
Latino Commission on AIDS,1990,"24 W 25th St, New York, NY 10010",NY,NEW YORK,NEW YORK,Hybrid
Latino Justice PRLDEF,1972,"99 Hudson St #14, New York, NY 10013",NY,NEW YORK,NEW YORK,Advocacy
Latino Leadership Institute,2000,,NY,NEW YORK,NEW YORK,Advocacy
Latino Organization for Liver Awareness,1994,"Throggs Neck Sta. Bronx, NY 10465",NY,NEW YORK,NEW YORK,CBO
Leadership Enterprise for a Diverse America,2003,"501 Seventh Avenue 7th Floor New York, NY 10018-5970",NY,NEW YORK,NEW YORK,CBO
Mexican Coalition for The Empowerment of Youth And Families,2003,"10 East 39th Street, Office 1119, New York, NY 10016",NY,NEW YORK,NEW YORK,CBO
National Institute for Latino Policy,1982,"25 W 18th St, New York, NY 10011",NY,NEW YORK,NEW YORK,Advocacy
National Latina Institute for Reproductive Health,1994,"50 Broad St., Ste. 1937 New York, NY 10004 ",NY,NEW YORK,NEW YORK,Hybrid
National Latino Alliance for the Elimination of Domestic Violence,1997,"New York, NY 10035-0672",NY,NEW YORK,NEW YORK,CBO
National Latino Council on Alcohol and Tobacco Prevention,1989,"101 Avenue of the Americas, Suite 313, New York,NY, 10013",NY,NEW YORK,NEW YORK,CBO
National Latino Officers Association,1996,"27-14 Kearney St, East Elmhurst NY 11369-1954",NY,NEW YORK,NEW YORK,Advocacy
FOCUS Hispanic Center for Community Development,1967,"441 Broad St, Newark, NJ 07102",NJ,NEWARK,ESSEX,CBO
La Casa De Don Pedro,1972,,NJ,NEWARK,ESSEX,CBO
Latino Institute,2004,"50 Park Pl #1539, Newark, NJ 07102",NJ,NEWARK,ESSEX,CBO
Hispanic Education Endowment Fund of Orange County Community Foundation,1993,"4041 MacArthur Boulevard, Suite 510, Newport Beach, CA 92660",CA,NEWPORT BEACH,ORANGE,CBO
Southern Latino Foundation,2001,,GA,NORCROSS,GWINNETT,CBO
Latino Alzheimers and Memory Disorders Alliance,2008,,IL,NORRIDGE,COOK,CBO
Accion Comunal Latino Americano de Montgomery County,1977,"512 West Marshall Street,Norristown, PA 19401",PA,NORRISTOWN,MONTGOMERY,CBO
For Chicana Chicanos Studies Foundation,1996,,CA,NORTHRIDGE,LOS ANGELES,Advocacy
lthe Latino Family Institute,1996,"6551 North Ave Oak Park, IL 60302-1020 ",IL,OAK PARK,COOK,CBO
Centro Legal de la Raza,1969,"3400 E 12th St, Oakland, CA 94601",CA,OAKLAND,ALAMEDA,Hybrid
Hispanics in Philanthropy,1983,"414 13th Street, Suite 200, Oakland, CA 94612",CA,OAKLAND,ALAMEDA,Hybrid
La Clinica de la Raza,1971,"Oakland, CA 94623-2210",CA,OAKLAND,ALAMEDA,CBO
National Latina Health Organization,1986,Oakland CA 94601,CA,OAKLAND,ALAMEDA,CBO
The Unity Council,1964,"1900 Fruitvale Avenue. Suite 2A. Oakland, CA 94601",CA,OAKLAND,ALAMEDA,Hybrid
Latino Community Development Agency,1991,"420 SW 10th St, Oklahoma City, OK 73109",OK,OKLAHOMA CITY,OKLAHOMA CITY,CBO
Hispanic Roundtable,2002,"Olympia, WA 98507",WA,OLYMPIA,THURSTON,CBO
Chicano awareness center,1972,"4821 S 24th Street Omaha, NE 68107 ",NE,OMAHA,DOUGLAS,CBO
Latino Center of the Midlands,1971,"4821 S 24th St, Omaha, NE 68107",NE,OMAHA,DOUGLAS,CBO
Latino Community Betterment Corporation,2016,,NE,OMAHA,DOUGLAS,CBO
Midlands Latino Community Development Corporation,2006,"4923 South 24th Street, Ste 201, Omaha NE 68107-2763",NE,OMAHA,DOUGLAS,CBO
Latino Leadership,1999,"8617 E Colonial Dr Ste 1200 Orlando, FL 32817-3919",FL,ORLANDO,ORANGE,Hybrid
California Hispanic Osteoporosis Foundation,2005,"300 South A Street, Suite 201, Oxnard, CA 93030",CA,OXNARD,ALAMEDA,Hybrid
Brevard Hispanic Center,2014,,FL,PALM BAY,BREVARD,CBO
California Latino Leadership Institute,2014,,CA,PASADENA,LOS ANGELES,CBO
California Latino Legislative Caucus Institute for Public Policy,2002,,CA,PASADENA,LOS ANGELES,Hybrid
Latino Institute for Corporate Inclusion,2008,,CA,PASADENA,LOS ANGELES,Advocacy
Los Angeles County Chicano Employees Association,1969,"1848 Allen Ave, Pasadena, CA 91104",CA,PASADENA,LOS ANGELES,CBO
National Association for Hispanic Elderly,1975,"234 E Colorado Blvd., Ste. 300 Pasadena CA 91101",CA,PASADENA,LOS ANGELES,CBO
National Hispanic Media Coalition,1986,55 S Grand Ave Pasadena CA 91105-1602,CA,PASADENA,LOS ANGELES,Advocacy
Hispanic Academic Achievers Program,1990,,WA,PASCO,FRANKLIN,CBO
Hispanic Multi-Purpose Service Center,1976,"911 East 23rd Street Paterson, NJ 07513-1500",NJ,PATERSON,PASSAIC,CBO
Intergrupo Latino de Grupos de Familia AL Anon Alateen de New Jersey,2014,,NJ,PATERSON,PASSAIC,CBO
Hispanic Counseling And Family Services of New Jersey,2000,"3908 Westfield Ave, Pennsauken Township, NJ 08110",NJ,PENNSAUKEN TOWNSHIP,CAMDEN,CBO
Mexican Association of Perth Amboy,2004,"131 Patterson St, Perth Amboy, NJ 08861",NJ,PERTH AMBOY,MIDDLESEX,CBO
Latino Scholarship Fund,1992,"2603 N 5th St FL 4, Philadelphia, PA 19133",PA,PHILADELPHIA,PHILADELPHIA,CBO
Arizona Latino Media Association,1997,,AZ,PHOENIX,MARICOPA,Advocacy
Chicanos Por La Causa,1969," 1112 E. BUCKEYE RD. PHOENIX, AZ 85034",AZ,PHOENIX,MARICOPA,CBO
Concilio Latino de Salud,1989,"Phoenix, AZ 85068-9837",AZ,PHOENIX,MARICOPA,CBO
Raza Development Fund,1964,"1 E Washington St #2250, Phoenix, AZ 85004",AZ,PHOENIX,MARICOPA,CBO
Claret Hispanic Organization,2015,,CA,PICO RIVERA,LOS ANGELES,CBO
Plaza De La Raza Child Development Services,1965,"8337 Telegraph Rd Fl 3 Pico Rivera, CA 90660-495",CA,PICO RIVERA,LOS ANGELES,CBO
Hispanic Committee of The South,2009,"5438 Shreveport Hwy, Pineville, LA 71360",LA,PINEVILLE,RAPIDES PARISH,CBO
Hispanic Liaison of Chatham County,1995,"97 Box Turtle Rd Pittsboro, NC 27312-5358",NC,PITTSBORO,CHATHAM,CBO
Pittsburgh Hispanic Development Corporation,2013,"1660 Broadway Avenue,Pittsburgh, Pennsylvania",PA,PITTSBURGH,ALLEGHENY,CBO
Asociacion Latina Dios Bendice Siempre,2015,,NJ,PLEASANTVILLE,ATLANTIC,CBO
Latino Educational Fund,2010,,CA,POMONA,LOS ANGELES,CBO
Hispanic Council of St Clair County,1990,,MI,PORT HURON,ST. CLAIR,CBO
Latino Network,1996,"410 NE 18th Ave Portland, OR 97232-2882 USA",OR,PORTLAND,MULTNOMAH,CBO
Oregon Council for Hispanic Advancement,1984,"108 NW 9th street Suite 201, Portland, OR 97209",OR,PORTLAND,MULTNOMAH,CBO
Oregon Latino Health Coalition,2004,,OR,PORTLAND,MULTNOMAH,Hybrid
Portland Latino Gay Pride,2006,,OR,PORTLAND,MULTNOMAH,CBO
Center for Hispanic Policy and Advocacy,1986,"421 Elmwood Avenue, Providence, RI 2907",RI,PROVIDENCE,PROVIDENCE,CBO
Rhode Island Latina Leadership Institute,2003,,RI,PROVIDENCE,PROVIDENCE,Hybrid
RI Latino Dollars for Scholars,1993,,RI,PROVIDENCE,PROVIDENCE,CBO
Pueblo Latino Hispanic Education Foundation,1988,"2200 Bonforte Blvd Admin. #329 Pueblo, CO 81001",CO,PUEBLO,PUEBLO,CBO
Centro Hispano,1988,"Reading, PA 19603",PA,READING,BERKS,CBO
Latino Outreach of Tehama County,1995,,CA,RED BLUFF,TEHAMA,CBO
Hispanic Outreach Program of Goodhue County,2009,"1407 W 4th Street, Red Wing, MN 55066",MN,RED WING,GOODHUE,CBO
Latino Influentials Network,2014,,NC,REIDSVILLE,ROCKINGHAM,CBO
Nevada Hispanic Services,1975,"3905 NEIL ROAD, SUITE #2, RENO, NV, 89502",NV,RENO,WASHOE,CBO
Tu Casa Latina,2015,,NV,RENO,WASHOE,CBO
Hispanic American Freethinkers,2010,"1818 Library St, Reston, VA 20190",VA,RESTON,FAIRFAX,CBO
"AMIGOS, the Richmond Latino Center",1999,"1215 S J St. Richmond, IN 47374",IN,RICHMOND,WAYNE,CBO
Latina Center,2001,,CA,RICHMOND,CONTRA COSTA,CBO
Hispanic American Institute,1999,,NM,RIO RANCHO,SANDOVAL,CBO
Inland Empire Latino Lawyers Association Inc,1978,"2060 University Ave, Suite 113, Riverside, CA",CA,RIVERSIDE,RIVERSIDE,CBO
Latino Mentor Program,2000,,CA,RIVERSIDE,RIVERSIDE,CBO
La Voz Latina,1971,,IL,ROCKFORD,WINNEBAGO,CBO
Hispanic Brotherhood of Rockville Centre,1984,,NY,ROCKVILLE CENTRE,NASSAU,CBO
Apoyo Latino,1987,,AR,ROGERS,BENTON,CBO
Healthy Latino Community,2006,,NY,ROSLYN HEIGHTS,NASSAU,CBO
Sociedad Latina,1968,,MA,ROXBURY,SUFFOLK,CBO
California Hispanic Commission on Alcohol And Drug Abuse,1975,"2101 Capitol Avenue, Sacramento, CA 95816",CA,SACRAMENTO,SACRAMENTO,CBO
California Latino Water Coalition,2007,"1415 L Street Sacramento, CA 95814-3961",CA,SACRAMENTO,SACRAMENTO,Advocacy
Chicano and Latino Youth Leadership Project,1982,"Sacramento, CA 95816-1566",CA,SACRAMENTO,SACRAMENTO,CBO
Latino Coalition for a Healthy California,1992,"1225 8th St., Ste. 550 Sacramento, CA 95814",CA,SACRAMENTO,SACRAMENTO,Hybrid
Latino Leadership and Policy Forum,2014,1022 G St Sacramento CA 95814-0823,CA,SACRAMENTO,SACRAMENTO,Advocacy
Latino Policy Coalition,2007,"1830 N ST SACRAMENTO , CA 95811 ",CA,SACRAMENTO,SACRAMENTO,Advocacy
Mexican American Alcoholism Program,1975,"4241 Florin Road, Suite 110 Sacramento, CA 95823",CA,SACRAMENTO,SACRAMENTO,CBO
National Coalition of Hispanic Organizations,1975,"Sacramento, CA 95812",CA,SACRAMENTO,SACRAMENTO,Advocacy
National Community College Hispanic Council,1985,1 Capitol Mall Ste 800 Sacramento CA 95814-3274,CA,SACRAMENTO,SACRAMENTO,Advocacy
Union Latina St Charles,2006,,IL,SAINT CHARLES,DUPAGE,CBO
Comunidades Latinas Unidas En Servicio,1981,"Saint Paul, MN 55106-5014",MN,SAINT PAUL,RAMSEY,Hybrid
Hispanic Advocacy and Community Empowerment through Research,1988,"2314 University Ave W Ste 12 Saint Paul, MN 55114-1863",MN,SAINT PAUL,RAMSEY,Advocacy
Latino Educational and Recreational Network,1986,"Salem, Or 97303",OR,SALEM,MARION,CBO
Hispanic Health Care Task Force,2014,,UT,SALT LAKE CITY,SALT LAKE,CBO
Utah Coalition of LA Raza,1992,,UT,SALT LAKE CITY,SALT LAKE,Advocacy
Hispanic Association of Colleges And Universities,1986,"8415 Datapoint Dr., Ste. 400 San Antonio, TX 78229",TX,SAN ANTONIO,BEXAR,Hybrid
Hispanic Healthy Processes,2011,,TX,SAN ANTONIO,BEXAR,CBO
Hispanic Leadership Development Foundation,2000,,TX,SAN ANTONIO,BEXAR,Hybrid
Hispanic Religious Partnership for Community Health,1997,"5415 Bandera Rd Ste 504 San Antonio, TX 78238-1958",TX,SAN ANTONIO,BEXAR,CBO
Hispanic Sports Foundation For Education,2006,"166 W Ligustrum Dr San Antonio, TX 78228-4048",TX,SAN ANTONIO,BEXAR,CBO
Latino Educational Equity Partnerships,2015,,TX,SAN ANTONIO,BEXAR,CBO
National Association for Latino Community Asset Builders,2002,"San Antonio, TX 78246-1266",TX,SAN ANTONIO,BEXAR,CBO
National Latino Childrens Institute,1997,"118 Broadway St Ste 615, San Antonio, TX 78205-2007",TX,SAN ANTONIO,BEXAR,Advocacy
National Organization for Mexican American Rights,1998,"San Antonio, Texas",TX,SAN ANTONIO,BEXAR,Advocacy
Chicano Federation of San Diego County,1969,"3180 University Ave., Ste. 317, San Diego, CA 92104",CA,SAN DIEGO,SAN DIEGO,Hybrid
Latino Policy Institute of San Diego,2004,,CA,SAN DIEGO,SAN DIEGO,CBO
Pacto Latino AIDS Organization,1994,"2828 University Ave #107, San Diego, CA 92104",CA,SAN DIEGO,SAN DIEGO,CBO
Raza Education Fund,2009,,CA,SAN DIEGO,SAN DIEGO,CBO
Accion Latina,1970,,CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
Centro Latino de San Francisco,1972,"1656 15th St., San Fransisco, CA 94103",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Instituto Familiar de la Raza,1978,"2919 Mission Street, San Francisco, CA 94110",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Instituto Laboral de la Raza,1982,"2947 16th St., San Francisco, CA 94103",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
La Raza Centro Legal San Francisco,1973,,CA,SAN FRANCISCO,SAN FRANCISCO,Hybrid
La Raza Community Resource Center,1974,,CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Latina Breast Cancer Agency,2002,"4271 Mission Street, 2nd FL, San Francisco, CA 94112",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Latino Commission on Alcohol and Drug Abuse Services of San Mateo County,1997,"301 Grand Ave #301, South San Francisco, CA 94080",CA,SAN FRANCISCO,SAN FRANCISCO,CBO
Latino Community Foundation,1989,"225 Bush St Ste 500 San Francisco, CA 94104-4224",CA,SAN FRANCISCO,SAN FRANCISCO,Advocacy
California Latino Environmental Advocacy Network Clean,2014,,CA,SAN GABRIEL,LOS ANGELES,Advocacy
Hispanic Foundation of Silicon Valley,1990,"1922 The Alameda, Suite 217 San Jose, CA 95126-1430",CA,SAN JOSE,SANTA CLARA,CBO
Latina Coalition of Silicon Valley,1998,"1346 The Alameda, Ste 7-293, San Jos?, CA 95126",CA,SAN JOSE,SANTA CLARA,CBO
Los Bomberos of Northern California,1972," 425 E Santa Clara St., Ste. 310 San Jose, CA 95113",CA,SAN JOSE,SANTA CLARA,CBO
Mexican American Community Services Agency,1964,"660 Sinclair Dr, San Jose, CA 95116",CA,SAN JOSE,SANTA CLARA,CBO
Latino Council of Marin,1977,"734 A St #6, San Rafael, CA 94901",CA,SAN RAFAEL,MARIN,CBO
Hispanic Task Force of Lee County,1994,"309 W Main St, Sanford, North Carolina 27332-5921",NC,SANFORD,LEE,CBO
Latino Center For Prevention and Action In Health and Welfare,1993,"450 W 4th Street Santa Ana, CA 92701-4562",CA,SANTA ANA,ORANGE,Hybrid
Latino Health Access,1993,"450 W Fourth St., Suite 130, Santa Ana, CA 92701",CA,SANTA ANA,ORANGE,Hybrid
La Casa de la Raza,1971,"601 E. MONTECITO STREET SANTA BARBARA, CA 93103",CA,SANTA BARBARA,SANTA BARBARA,CBO
Santa Paula Latino Town Hall,1996,,CA,SANTA PAULA,VENTURA,CBO
Latino Commission on Alcohol and Drug Abuse Services of Sonoma County,1994,"857 Dutton Ave, Santa Rosa, CA 95407",CA,SANTA ROSA,SONOMA,CBO
Latino Unidos Del Condado De Sonoma,2012,"Santa Rosa, CA 95402-5410",CA,SANTA ROSA,SONOMA,CBO
El Centro de La Raza,1972,,WA,SEATTLE,KING,Advocacy
El Comite Pro-Reforma Migratoria Y Justicia Social,1999,,WA,SEATTLE,KING,Advocacy
Latino Community Fund of Washington State,2005,,WA,SEATTLE,KING,CBO
Latino/a Educational Achievement Project,1998,"113-23rd Ave S. Seattle, WA 98144",WA,SEATTLE,KING,CBO
Viva Hispanic Foundation NW,2001,,WA,SEATTLE,KING,CBO
Centro Latino of Shelbyville,2002,"121 Main Street, Shelbyville, KY 40065-1021",KY,SHELBYVILLE,SHELBY,CBO
Together for Latinas,2009,"Shelton, CT 06484",CT,SHELTON,FAIRFIELD,CBO
Centro de Ayuda Latina,2016,,NC,SILER CITY,CHATHAM,CBO
Maryland Hispanic Coalition,2014,"11719 Galt Ave, Silver Spring, MD 20902",MD,SILVER SPRING,MONTGOMERY,CBO
Generacion Latina,2010,,GA,SMYRNA,COBB,CBO
Hispanic Community Connection Conexion Comunidad Hispana,2014,,UT,SOUTH JORDAN,SALT LAKE,CBO
Hispanic Women's Organization of Arkansas,1999,"614 E Emma Ave #231, Springdale, AR 72764",AK,SPRINGDALE,WASHINGTON,Hybrid
National Hispanic Leadership Agenda,1991,"6800 Versar Center Drive No 450 Springfield, VA 22151-0000",VA,SPRINGFIELD,FAIRFAX,Advocacy
"Hispanic Educational, Cultural and Scholarship Fund",1998,,MO,ST. LOUIS,ST. LOUIS,CBO
Chicano Research Center,2015,,CA,STOCKTON,SAN JOAQUIN,CBO
Centro Latino Ser -Jobs for Progress,1991,"1208 S. 10th St., Tacoma
WA, 98405",WA,TACOMA,PIERCE,CBO
Hispanic Services Council,1991,"2902 N Armenia Ave Ste 201 Tampa, FL 33607-1661",FL,TAMPA,HILLSBOROUGH,CBO
Latino Coalition of Tampa Bay,1997,,FL,TAMPA,HILLSBOROUGH,Hybrid
"The Center for Hispanic Policy, Research and Development",1975,"225 W State St, Trenton, New Jersey",NJ,TRENTON,MERCER,CBO
Coalition of Hispanic Organizations,2000,,OK,TULSA,TULSA,CBO
Latino Advocates for Education,1974,,CA,TUSTIN,ORANGE,Hybrid
Hispanic-American Association of East Texas,1992,"1111 E Erwin St, Tyler, TX 75702",TX,TYLER,SMITH,CBO
Latino Pac Foundation,2014,"Union City, NJ 07087-1028",NJ,UNION CITY,HUDSON,CBO
Great Lakes Bay Hispanic Leadership Institute,2009,,MI,UNIVERSITY CENTER,BAY,CBO
Clark County Latino Youth Conference,2011,,WA,VANCOUVER,CLARK,CBO
Catholic Charities Diocese of Venice Catholic Hispanic Social Services,1968,,FL,VENICE,SARASOTA,CBO
Latino Resource Organization,1983,"610 California Ave, Venice, CA 90291",CA,VENICE,LOS ANGELES,CBO
ASPIRA Association,1961,"1444 I St NW #800, Washington, DC 20005",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Central American Resource Center,1983,1460 Columbia Road Nw No C-1 Washington DC 20009-4764,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Congressional Hispanic Caucus Institute,1976,"214 Cannon House Office Building,Washington, DC 20003",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Congressional Hispanic Leadership Institute,2003,"734 15th Street, N.W. Suite 620, Washington, DC 20005-1030",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Hispanic Access Foundation,2010,"1718 M Street Nw Suite 150 Washington, DC 20036-4054",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Hispanic American Center for Economic Research,1996,"910 17th St NW #312, Washington, DC 20006",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Hispanic Association on Corporate Responsibility,1986,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Hispanic College Fund,1993,"Washington, DC 20043-4636",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Hispanic Conservative Alliance,2015,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Hispanic Leadership Fund,2008,"1001 G St Nw Ste 800 Washington, DC 20001-4545",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Hispanic-Serving Health Professions Schools,1996,"2639 Connecticut Ave. NW, Ste. 203 Washington DC 20008",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Labor Council for Latin American Advancement,1972,"815 16th St. NW, 4th Fl Washington, DC 20006",DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
Latino Deaf and Hard of Hearing Agency of the Metropolitan DC Area,2005,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Latino Economic Development Corporation,1992,,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,CBO
Latino GLBT History Project,2000,2000 14th St Nw Ste 105 Washington DC 20009,DC,WASHINGTON DC,DISTRICT OF COLUMBIA,Advocacy
